,Index,Base_Sales,TV_Sales1,Temprature,TV_Spend,Week,TV_Sales1_AdStock,TV_Sales2,TV_Radio_Sales1,TV_Radio_Sales2,Radio_Spend,TV_Sales2_Adstock,TV_Radio_Sales1_Adstock,TV_Radio_Sales2_Adstock,Category,TVRadio_Sales1_Diff,TV_Sales_Diff,TV_Adstock1_Diff,TVRadio_Adstock1_Diff,Week_M
20,21,1042.148419,1078.503692,5.691229415,250,21,1.211842428,1070.607973,1073.550313,1065.990888,0,0.97452353,1.211842428,0.97452353,AA,-4.953379,7.895719,0.237318898,0,21
21,22,1027.554666,1057.424865,4.659160168,100,22,0.995673287,1064.623264,1062.437267,1066.687367,0,0.826226057,0.995673287,0.826226057,AA,5.012402,-7.198399,0.16944723,0,22
22,23,1034.511112,1059.992303,3.559218658,80,23,0.849373022,1057.991917,1060.191973,1049.215475,0,0.667128916,0.849373022,0.667128916,AA,0.19967,2.000386,0.182244106,0,23
23,24,1037.203071,1065.811601,2.407428273,120,24,0.953617695,1038.929744,1057.188315,1040.122693,0,0.763072241,0.953617695,0.763072241,AA,-8.623286,26.881857,0.190545454,0,24
24,25,1020.184561,1042.302771,1.220567704,60,25,0.737273672,1055.91509,1055.141079,1035.210593,0,0.617107114,0.737273672,0.617107114,AA,12.838308,-13.612319,0.120166558,0,25
25,26,1022.814275,1029.449738,0.015926529,0,26,0.221182102,1026.336106,1025.571552,1023.306934,0,0.164729789,0.221182102,0.164729789,AA,-3.878186,3.113632,0.056452313,0,26
26,27,1011.745164,1013.735803,-1.188946655,0,27,0.066354631,1024.817421,1022.871742,1018.099002,0,0,0.066354631,0,AA,9.135939,-11.081618,0.066354631,0,27
27,28,1011.525618,1012.12281,-2.376499873,0,28,0.019906389,1011.313766,1010.628742,1006.529343,0,0,0.019906389,0,AA,-1.494068,0.809044,0.019906389,0,28
28,29,1012.143863,1012.323021,-3.529433456,0,29,0.005971917,1004.387306,1011.049644,1006.02913,0,0,0.005971917,0,AA,-1.273377,7.935715,0.005971917,0,29
29,30,1006.964532,1007.018279,-4.630952059,0,30,0.001791575,1008.414012,1004.313541,999.735695,0,0,0.001791575,0,AA,-2.704738,-1.395733,0.001791575,0,30
30,31,1004.116021,1004.132145,-5.665009321,0,31,0.000537473,999.0605297,1003.908719,1014.860445,0,0,0.000537473,0,AA,-0.223426,5.0716153,0.000537473,0,31
31,32,1003.379752,1003.384589,-6.616541626,0,32,0.000161242,993.6279984,995.5874113,1001.364625,0,0,0.000161242,0,AA,-7.7971777,9.7565906,0.000161242,0,32
32,33,1005.251042,1005.252493,-7.471687538,0,33,4.84E-05,994.7346923,994.1701867,992.309343,0,0,4.84E-05,0,AA,-11.0823063,10.5178007,4.84E-05,0,33
33,34,1002.793348,1002.793783,-8.217989729,0,34,1.45E-05,1000.870524,997.0874453,996.7054362,0,0,1.45E-05,0,AA,-5.7063377,1.923259,1.45E-05,0,34
34,35,994.1951067,994.1952373,-8.84457645,0,35,4.35E-06,991.4665555,986.2155579,993.8804747,0,0,4.35E-06,0,AA,-7.9796794,2.7286818,4.35E-06,0,35
35,36,990.0732632,990.0733023,-9.342319907,0,36,1.31E-06,984.7799292,996.9184714,985.8492062,0,0,1.31E-06,0,AA,6.8451691,5.2933731,1.31E-06,0,36
36,37,991.9873372,991.9873489,-9.703969227,0,37,3.92E-07,993.2031921,985.4857781,985.8767179,0,0,3.92E-07,0,AA,-6.5015708,-1.2158432,3.92E-07,0,37
37,38,989.3498655,989.3498691,-9.924256088,0,38,1.18E-07,985.0869638,996.7190446,984.2405396,0,0,1.18E-07,0,AA,7.3691755,4.2629053,1.18E-07,0,38
38,39,1000.828095,1000.828096,-9.999971464,0,39,3.53E-08,988.1613529,993.7148563,994.1435691,0,0,3.53E-08,0,AA,-7.1132397,12.6667431,3.53E-08,0,39
39,40,995.6521167,995.652117,-9.930012372,0,40,1.06E-08,985.5058714,992.4758744,991.5129083,0,0,1.06E-08,0,AA,-3.1762426,10.1462456,1.06E-08,0,40
40,41,998.7745157,998.7745158,-9.715397941,0,41,3.17E-09,996.5735249,1008.490189,1003.022783,100,0,3.17E-09,0,AA,9.7156732,2.2009909,3.17E-09,0,41
41,42,1000.51849,1000.51849,-9.359254563,0,42,9.52E-10,1006.889371,1004.244807,1008.286885,100,0,9.52E-10,0,AA,3.726317,-6.370881,9.52E-10,0,42
42,43,997.8906805,997.8906806,-8.866770353,0,43,2.86E-10,1001.19446,1008.695544,1007.075166,80,0,2.86E-10,0,AA,10.8048634,-3.3037794,2.86E-10,0,43
43,44,1000.076553,1000.076553,-8.245119569,0,44,8.57E-11,998.0042961,1013.09537,1013.510461,80,0,8.57E-11,0,AA,13.018817,2.0722569,8.57E-11,0,44
44,45,1007.620796,1007.620796,-7.503358102,0,45,2.57E-11,1006.320832,1003.413474,1001.02264,0,0,2.57E-11,0,AA,-4.207322,1.299964,2.57E-11,0,45
45,46,1011.718482,1011.718482,-6.652291553,0,46,7.71E-12,1013.420042,1007.985434,1011.258751,0,0,7.71E-12,0,AA,-3.733048,-1.70156,7.71E-12,0,46
46,47,1013.228467,1013.228467,-5.704317825,0,47,2.31E-12,1007.505876,1014.972263,1021.331917,0,0,2.31E-12,0,AA,1.743796,5.722591,2.31E-12,0,47
47,48,1013.323671,1013.323671,-4.673246513,0,48,6.94E-13,1019.271101,1012.218745,1023.107257,0,0,6.94E-13,0,AA,-1.104926,-5.94743,6.94E-13,0,48
48,49,1025.908753,1025.908753,-3.574097736,0,49,2.08E-13,1022.551795,1024.740561,1019.856005,0,0,2.08E-13,0,AA,-1.168192,3.356958,2.08E-13,0,49
49,50,1021.42991,1021.42991,-2.422883333,0,50,6.25E-14,1025.149419,1031.441214,1020.861936,0,0,6.25E-14,0,AA,10.011304,-3.719509,6.25E-14,0,50
50,51,1026.084974,1026.084974,-1.236373604,0,51,1.87E-14,1029.34623,1037.480822,1049.655069,0,0,1.87E-14,0,AA,11.395848,-3.261256,1.87E-14,0,51
51,52,1048.715693,1048.715693,-0.031853018,0,52,5.62E-15,1038.14637,1035.944716,1032.11947,0,0,5.62E-15,0,AA,-12.770977,10.569323,5.62E-15,0,52
52,53,1042.480266,1042.480266,1.173131587,0,53,1.69E-15,1049.201519,1039.267963,1044.347123,0,0,1.69E-15,0,AA,-3.212303,-6.721253,1.69E-15,0,53
53,54,1045.334132,1045.334132,2.361026611,0,54,5.06E-16,1056.394068,1054.183323,1054.450349,0,0,5.06E-16,0,AA,8.849191,-11.059936,5.06E-16,0,54
54,55,1067.099763,1067.099763,3.514527407,0,55,1.52E-16,1057.719021,1051.404757,1055.972981,0,0,1.52E-16,0,AA,-15.695006,9.380742,1.52E-16,0,55
55,56,1060.810307,1060.810307,4.616830367,0,56,4.55E-17,1064.448405,1062.952216,1051.362771,0,0,4.55E-17,0,AA,2.141909,-3.638098,4.55E-17,0,56
56,57,1069.313972,1069.313972,5.651877704,0,57,1.37E-17,1073.837414,1067.157906,1064.765679,0,0,1.37E-17,0,AA,-2.156066,-4.523442,1.37E-17,0,57
57,58,1066.644987,1066.644987,6.604591378,0,58,4.10E-18,1067.422488,1079.504723,1077.105546,0,0,4.10E-18,0,AA,12.859736,-0.777501,4.10E-18,0,58
58,59,1074.129528,1074.129528,7.461092744,0,59,1.23E-18,1075.256061,1071.77588,1083.692545,0,0,1.23E-18,0,AA,-2.353648,-1.126533,1.23E-18,0,59
59,60,1073.441387,1100.978837,8.208904728,250,60,0.917915001,1116.515322,1101.806759,1102.631658,0,0.917915001,0.917915001,0.917915001,AA,0.827922,-15.536485,0,0,60
60,61,1084.883736,1119.820876,8.837133588,220,61,1.164571342,1107.722581,1120.666536,1118.974615,0,0.947660294,1.164571342,0.947660294,AA,0.84566,12.098295,0.216911048,0,61
61,62,1080.961355,1110.406114,9.336627608,100,62,0.981491961,1100.842623,1110.913556,1105.588346,0,0.80986102,0.981491961,0.80986102,AA,0.507442,9.563491,0.171630941,0,62
62,63,1090.776523,1118.573568,9.700110413,100,63,0.926568147,1109.365855,1126.666849,1116.274048,0,0.727468207,0.926568147,0.727468207,AA,8.093281,9.207713,0.19909994,0,63
63,64,1092.46543,1121.768717,9.922286973,120,64,0.976776232,1115.715376,1110.506585,1105.917301,0,0.77686984,0.976776232,0.77686984,AA,-11.262132,6.053341,0.199906392,0,64
64,65,1092.998101,1122.75326,9.999920733,120,65,0.991838658,1112.833018,1119.132664,1115.618075,0,0.789863929,0.991838658,0.789863929,AA,-3.620596,9.920242,0.201974729,0,65
65,66,1098.180061,1107.106609,9.931880764,0,66,0.297551597,1106.511375,1102.608363,1098.903199,0,0.302323674,0.297551597,0.302323674,AA,-4.498246,0.595234,-0.004772077,0,66
66,67,1089.917498,1092.595462,9.719158238,0,67,0.089265479,1081.341696,1092.234815,1092.603194,0,0,0.089265479,0,AA,-0.360647,11.253766,0.089265479,0,67
67,68,1093.8315,1094.634889,9.364851987,0,68,0.026779644,1093.356814,1089.149432,1092.345808,0,0,0.026779644,0,AA,-5.485457,1.278075,0.026779644,0,68
68,69,1088.682421,1088.923438,8.874123364,0,69,0.008033893,1089.174449,1092.189446,1089.540351,0,0,0.008033893,0,AA,3.266008,-0.251011,0.008033893,0,69
69,70,1088.109292,1088.181597,8.254121052,0,70,0.002410168,1088.470456,1088.323536,1090.774683,0,0,0.002410168,0,AA,0.141939,-0.288859,0.002410168,0,70
70,71,1088.672047,1088.693738,7.513876927,0,71,0.00072305,1080.094131,1084.640081,1080.33083,0,0,0.00072305,0,AA,-4.053657,8.599607,0.00072305,0,71
71,72,1076.695633,1076.70214,6.664174488,0,72,0.000216915,1090.056911,1080.176609,1085.601734,0,0,0.000216915,0,AA,3.474469,-13.354771,0.000216915,0,72
72,73,1077.396119,1077.398072,5.717391765,0,73,6.51E-05,1085.101333,1087.835532,1082.036082,0,0,6.51E-05,0,AA,10.43746,-7.703261,6.51E-05,0,73
73,74,1076.155783,1076.156369,4.687321004,0,74,1.95E-05,1077.533741,1084.439625,1087.936315,0,0,1.95E-05,0,AA,8.283256,-1.377372,1.95E-05,0,74
74,75,1068.106526,1068.106701,3.588967748,0,75,5.86E-06,1068.489949,1073.012839,1079.49582,0,0,5.86E-06,0,AA,4.906138,-0.383248,5.86E-06,0,75
75,76,1075.325393,1075.325446,2.438332247,0,76,1.76E-06,1068.14999,1071.442629,1075.766932,0,0,1.76E-06,0,AA,-3.882817,7.175456,1.76E-06,0,76
76,77,1063.38984,1063.389856,1.252176369,0,77,5.27E-07,1065.259871,1061.122709,1065.489112,0,0,5.27E-07,0,AA,-2.267147,-1.870015,5.27E-07,0,77
77,78,1058.049071,1058.049076,0.047779426,0,78,1.58E-07,1064.966643,1054.565226,1061.23108,0,0,1.58E-07,0,AA,-3.48385,-6.917567,1.58E-07,0,78
78,79,1053.016949,1053.01695,-1.157313543,0,79,4.74E-08,1058.788492,1055.70094,1057.103129,0,0,4.74E-08,0,AA,2.68399,-5.771542,4.74E-08,0,79
79,80,1052.326234,1052.326235,-2.34554736,0,80,1.42E-08,1054.353855,1055.936834,1054.17986,0,0,1.42E-08,0,AA,3.610599,-2.02762,1.42E-08,0,80
80,81,1050.472863,1050.472863,-3.499612444,0,81,4.27E-09,1034.688773,1054.664144,1051.299113,0,0,4.27E-09,0,AA,4.191281,15.78409,4.27E-09,0,81
81,82,1047.231864,1047.231865,-4.602696964,0,82,1.28E-09,1051.308049,1054.478357,1047.990682,0,0,1.28E-09,0,AA,7.246492,-4.076184,1.28E-09,0,82
82,83,1040.51416,1040.51416,-5.638731749,0,83,3.84E-10,1049.908337,1045.364346,1043.668339,0,0,3.84E-10,0,AA,4.850186,-9.394177,3.84E-10,0,83
83,84,1035.660686,1035.660686,-6.592624376,0,84,1.15E-10,1042.593024,1040.083129,1044.445768,0,0,1.15E-10,0,AA,4.422443,-6.932338,1.15E-10,0,84
84,85,1043.028847,1043.028847,-7.450479023,0,85,3.46E-11,1032.520857,1039.492339,1041.303323,0,0,3.46E-11,0,AA,-3.536508,10.50799,3.46E-11,0,85
85,86,1035.919815,1035.919815,-8.199798904,0,86,1.04E-11,1038.973637,1040.191282,1040.783261,0,0,1.04E-11,0,AA,4.271467,-3.053822,1.04E-11,0,86
86,87,1034.417131,1034.417131,-8.82966831,0,87,3.11E-12,1036.092637,1030.797935,1041.414797,0,0,3.11E-12,0,AA,-3.619196,-1.675506,3.11E-12,0,87
87,88,1031.15838,1031.15838,-9.330911626,0,88,9.34E-13,1035.008269,1034.022948,1032.353589,0,0,9.34E-13,0,AA,2.864568,-3.849889,9.34E-13,0,88
88,89,1037.159633,1037.159633,-9.696226995,0,89,2.80E-13,1037.884675,1034.005785,1039.194033,0,0,2.80E-13,0,AA,-3.153848,-0.725042,2.80E-13,0,89
89,90,1032.639932,1032.639932,-9.92029269,0,90,8.40E-14,1028.566775,1029.978221,1030.841076,0,0,8.40E-14,0,AA,-2.661711,4.073157,8.40E-14,0,90
90,91,1033.849754,1033.849754,-9.999844637,0,91,2.52E-14,1030.516795,1037.828174,1031.18515,0,0,2.52E-14,0,AA,3.97842,3.332959,2.52E-14,0,91
91,92,1028.010329,1028.010329,-9.933723964,0,92,7.56E-15,1030.10938,1045.831568,1051.637977,100,0,7.56E-15,0,AA,17.821239,-2.099051,7.56E-15,0,92
92,93,1032.219343,1032.219343,-9.722893882,0,93,2.27E-15,1041.734148,1037.168348,1054.48012,100,0,2.27E-15,0,AA,4.949005,-9.514805,2.27E-15,0,93
93,94,1046.29686,1046.29686,-9.370425657,0,94,6.81E-16,1043.574283,1047.012265,1044.405724,80,0,6.81E-16,0,AA,0.715405,2.722577,6.81E-16,0,94
94,95,1038.05731,1038.05731,-8.881453865,0,95,2.04E-16,1039.318719,1043.476666,1055.032819,80,0,2.04E-16,0,AA,5.419356,-1.261409,2.04E-16,0,95
95,96,1059.556047,1059.556047,-8.263101597,0,96,6.13E-17,1039.596625,1037.636734,1048.191354,0,0,6.13E-17,0,AA,-21.919313,19.959422,6.13E-17,0,96
96,97,1043.447371,1043.447371,-7.524376693,0,97,1.84E-17,1046.920542,1047.63482,1046.305683,0,0,1.84E-17,0,AA,4.187449,-3.473171,1.84E-17,0,97
97,98,1051.312749,1051.312749,-6.676040519,0,98,5.51E-18,1043.465553,1058.345779,1050.231071,0,0,5.51E-18,0,AA,7.03303,7.847196,5.51E-18,0,98
98,99,1058.849535,1058.849535,-5.730451203,0,99,1.65E-18,1056.638617,1053.423687,1063.822063,0,0,1.65E-18,0,AA,-5.425848,2.210918,1.65E-18,0,99
99,100,1060.356785,1079.320401,-4.701383605,100,100,0.632120559,1073.690164,1078.909016,1081.917704,0,0.632120559,0.632120559,0.632120559,AA,-0.411385,5.630237,0,0,100
100,101,1075.335849,1097.545065,-3.603828656,80,101,0.740307204,1081.712111,1088.475032,1083.380799,0,0.667128916,0.740307204,0.667128916,AA,-9.070033,15.832954,0.073178288,0,101
101,102,1071.258805,1091.457221,-2.453774976,60,102,0.673280525,1087.55782,1094.288795,1079.809817,0,0.568289477,0.673280525,0.568289477,AA,2.831574,3.899401,0.104991048,0,102
102,103,1077.044281,1102.067423,-1.267975957,100,103,0.834104716,1098.508562,1104.18701,1093.436852,0,0.692721261,0.834104716,0.692721261,AA,2.119587,3.558861,0.141383455,0,103
103,104,1081.678848,1089.18579,-0.063705713,0,104,0.250231415,1090.866806,1097.738301,1088.058132,0,0.259181779,0.250231415,0.259181779,AA,8.552511,-1.681016,-0.008950364,0,104
104,105,1084.440848,1086.69293,1.141492564,0,105,0.075069424,1086.361809,1082.161708,1082.326906,0,0,0.075069424,0,AA,-4.531222,0.331121,0.075069424,0,105
105,106,1092.236515,1092.91214,2.33006216,0,106,0.022520827,1094.130426,1098.78659,1092.830099,0,0,0.022520827,0,AA,5.87445,-1.218286,0.022520827,0,106
106,107,1107.061742,1107.26443,3.484688603,0,107,0.006756248,1097.383701,1105.039355,1104.534458,0,0,0.006756248,0,AA,-2.225075,9.880729,0.006756248,0,107
107,108,1095.749171,1095.809978,4.588551886,0,108,0.002026874,1112.031135,1107.974001,1104.645836,0,0,0.002026874,0,AA,12.164023,-16.221157,0.002026874,0,108
108,109,1112.247954,1112.266196,5.625571492,0,109,0.000608062,1108.022863,1106.664018,1107.120377,0,0,0.000608062,0,AA,-5.602178,4.243333,0.000608062,0,109
109,110,1105.112365,1105.117837,6.580640651,0,110,0.000182419,1106.098517,1114.406243,1117.677632,0,0,0.000182419,0,AA,9.288406,-0.98068,0.000182419,0,110
110,111,1117.212151,1117.213792,7.439846404,0,111,5.47E-05,1119.051786,1111.124754,1112.88393,0,0,5.47E-05,0,AA,-6.089038,-1.837994,5.47E-05,0,111
111,112,1114.808575,1114.809067,8.190672282,0,112,1.64E-05,1123.287297,1118.125608,1119.941656,0,0,1.64E-05,0,AA,3.316541,-8.47823,1.64E-05,0,112
112,113,1119.762651,1119.762799,8.822180636,0,113,4.93E-06,1127.435881,1122.619697,1122.156702,0,0,4.93E-06,0,AA,2.856898,-7.673082,4.93E-06,0,113
113,114,1132.270032,1132.270077,9.325171976,0,114,1.48E-06,1134.633921,1126.751917,1133.877232,0,0,1.48E-06,0,AA,-5.51816,-2.363844,1.48E-06,0,114
114,115,1128.483869,1128.483882,9.692318982,0,115,4.43E-07,1133.467875,1125.341265,1144.122816,0,0,4.43E-07,0,AA,-3.142617,-4.983993,4.43E-07,0,115
115,116,1139.395933,1139.395937,9.918273244,0,116,1.33E-07,1126.099186,1132.363533,1138.903907,0,0,1.33E-07,0,AA,-7.032404,13.296751,1.33E-07,0,116
116,117,1132.686049,1132.68605,9.999743176,0,117,3.99E-08,1125.023336,1135.434936,1124.333092,0,0,3.99E-08,0,AA,2.748886,7.662714,3.99E-08,0,117
117,118,1125.234037,1125.234038,9.935541966,0,118,1.20E-08,1133.50569,1138.215405,1128.634023,0,0,1.20E-08,0,AA,12.981367,-8.271652,1.20E-08,0,118
118,119,1131.605768,1131.605768,9.726604863,0,119,3.59E-09,1130.044971,1131.796509,1133.016615,0,0,3.59E-09,0,AA,0.190741,1.560797,3.59E-09,0,119
119,120,1135.624588,1135.624588,9.375975558,0,120,1.08E-09,1138.702997,1137.549809,1130.725306,0,0,1.08E-09,0,AA,1.925221,-3.078409,1.08E-09,0,120
120,121,1131.011784,1131.011784,8.888761838,0,121,3.23E-10,1129.567488,1143.486573,1137.965889,0,0,3.23E-10,0,AA,12.474789,1.444296,3.23E-10,0,121
121,122,1129.026878,1129.026878,8.272061183,0,122,9.69E-11,1127.649907,1134.965993,1131.481253,0,0,9.69E-11,0,AA,5.939115,1.376971,9.69E-11,0,122
122,123,1128.093658,1128.093658,7.534857373,0,123,2.91E-11,1127.520725,1133.394842,1127.768387,0,0,2.91E-11,0,AA,5.301184,0.572933,2.91E-11,0,123
123,124,1123.768143,1123.768143,6.687889616,0,124,8.73E-12,1125.472609,1127.821828,1127.401933,0,0,8.73E-12,0,AA,4.053685,-1.704466,8.73E-12,0,124
124,125,1119.010025,1119.010025,5.743496105,0,125,2.62E-12,1111.767112,1118.88453,1130.588438,0,0,2.62E-12,0,AA,-0.125495,7.242913,2.62E-12,0,125
125,126,1125.921316,1125.921316,4.715434281,0,126,7.85E-13,1113.771277,1118.501497,1120.136211,0,0,7.85E-13,0,AA,-7.419819,12.150039,7.85E-13,0,126
126,127,1115.039092,1115.039092,3.618680423,0,127,2.36E-13,1114.417797,1116.33492,1113.249415,0,0,2.36E-13,0,AA,1.295828,0.621295,2.36E-13,0,127
127,128,1114.591413,1114.591413,2.469211481,0,128,7.07E-14,1110.164687,1114.684228,1108.200145,0,0,7.07E-14,0,AA,0.092815,4.426726,7.07E-14,0,128
128,129,1109.706931,1109.706931,1.283772329,0,129,2.12E-14,1100.516287,1109.440551,1112.989043,0,0,2.12E-14,0,AA,-0.26638,9.190644,2.12E-14,0,129
129,130,1099.17684,1099.17684,0.079631838,0,130,6.36E-15,1105.00703,1110.798568,1095.391206,0,0,6.36E-15,0,AA,11.621728,-5.83019,6.36E-15,0,130
130,131,1103.182718,1103.182718,-1.125668689,0,131,1.91E-15,1104.720581,1097.437907,1098.837187,0,0,1.91E-15,0,AA,-5.744811,-1.537863,1.91E-15,0,131
131,132,1103.304252,1103.304252,-2.31457105,0,132,5.72E-16,1099.292389,1097.049081,1099.980633,0,0,5.72E-16,0,AA,-6.255171,4.011863,5.72E-16,0,132
132,133,1086.855368,1086.855368,-3.469755924,0,133,1.72E-16,1093.046683,1099.307875,1094.411147,0,0,1.72E-16,0,AA,12.452507,-6.191315,1.72E-16,0,133
133,134,1090.182853,1090.182853,-4.574395169,0,134,5.15E-17,1079.057155,1078.606998,1088.61536,0,0,5.15E-17,0,AA,-11.575855,11.125698,5.15E-17,0,134
134,135,1087.43323,1087.43323,-5.612396966,0,135,1.55E-17,1086.141877,1086.193926,1073.245583,0,0,1.55E-17,0,AA,-1.239304,1.291353,1.55E-17,0,135
135,136,1066.754538,1066.754538,-6.568640235,0,136,4.64E-18,1079.308431,1087.603128,1082.207433,0,0,4.64E-18,0,AA,20.84859,-12.553893,4.64E-18,0,136
136,137,1077.314231,1077.314231,-7.429194914,0,137,1.39E-18,1076.502438,1079.485105,1083.73222,0,0,1.39E-18,0,AA,2.170874,0.811793,1.39E-18,0,137
137,138,1075.729121,1075.729121,-8.181524883,0,138,4.17E-19,1079.500815,1085.163816,1073.679561,0,0,4.17E-19,0,AA,9.434695,-3.771694,4.17E-19,0,138
138,139,1079.874109,1079.874109,-8.814670583,0,139,1.25E-19,1074.896742,1080.532703,1068.837295,0,0,1.25E-19,0,AA,0.658594,4.977367,1.25E-19,0,139
139,140,1071.358089,1071.358089,-9.319408672,0,140,3.76E-20,1069.718626,1066.690149,1070.498013,0,0,3.76E-20,0,AA,-4.66794,1.639463,3.76E-20,0,140
140,141,1068.98821,1068.98821,-9.688386384,0,141,1.13E-20,1073.143499,1080.453501,1072.547266,0,0,1.13E-20,0,AA,11.465291,-4.155289,1.13E-20,0,141
141,142,1071.984202,1071.984202,-9.916228639,0,142,3.38E-21,1065.315261,1073.534923,1068.587174,0,0,3.38E-21,0,AA,1.550721,6.668941,3.38E-21,0,142
142,143,1076.098953,1076.098953,-9.99961635,0,143,1.01E-21,1074.415536,1071.482552,1079.319256,0,0,1.01E-21,0,AA,-4.616401,1.683417,1.01E-21,0,143
143,144,1070.958047,1070.958047,-9.937334766,0,144,3.04E-22,1075.967751,1090.630494,1081.731611,100,0,3.04E-22,0,AA,19.672447,-5.009704,3.04E-22,0,144
144,145,1068.462282,1068.462282,-9.730291173,0,145,9.13E-23,1078.704449,1088.435857,1078.871645,100,0,9.13E-23,0,AA,19.973575,-10.242167,9.13E-23,0,145
145,146,1077.557494,1077.557494,-9.381501677,0,146,2.74E-23,1082.434106,1093.10938,1092.308631,80,0,2.74E-23,0,AA,15.551886,-4.876612,2.74E-23,0,146
146,147,1084.924815,1084.924815,-8.896047264,0,147,8.21E-24,1085.48821,1072.398387,1084.945625,0,0,8.21E-24,0,AA,-12.526428,-0.563395,8.21E-24,0,147
147,148,1085.631017,1085.631017,-8.280999786,0,148,2.46E-24,1079.031747,1081.975498,1094.484827,0,0,2.46E-24,0,AA,-3.655519,6.59927,2.46E-24,0,148
148,149,1086.819616,1086.819616,-7.54531894,0,149,7.39E-25,1095.066244,1095.213804,1092.1096,0,0,7.39E-25,0,AA,8.394188,-8.246628,7.39E-25,0,149
149,150,1090.044548,1119.842409,-6.699721749,500,150,0.993262053,1127.289798,1127.665964,1125.511573,0,0.993262053,0.993262053,0.993262053,AA,7.823555,-7.447389,0,0,150
150,151,1092.894298,1127.773598,-5.756526439,200,151,1.162643333,1134.283695,1122.830572,1131.510857,0,0.969802617,1.162643333,0.969802617,AA,-4.943026,-6.510097,0.192840716,0,151
151,152,1105.663682,1142.067413,-4.729472996,200,152,1.213457717,1129.394556,1138.641017,1126.705983,0,0.925726422,1.213457717,0.925726422,AA,-3.426396,12.672857,0.287731295,0,152
152,153,1097.57049,1127.455227,-3.633523012,100,153,0.996157874,1131.917777,1146.660471,1145.606394,0,0.798103482,0.996157874,0.798103482,AA,19.205244,-4.46255,0.198054392,0,153
153,154,1119.931309,1149.860903,-2.484641722,120,154,0.99765315,1131.847109,1136.901998,1137.446161,0,0.77686984,0.99765315,0.77686984,AA,-12.958905,18.013794,0.22078331,0,154
