Customer State,Review Score,Purchase Timestamp,Purchase Date,Monetary,Customer Segment,Marketing Action,Customer_ID,Order_ID,Product_ID,product_name,aisle,department,Product Category,latent_cluster
PR,5,2017-08-01 18:38:42,2017-08-01 00:00:00,472.06,Loyal Customers,Loyality programs;Cross Sell,33008,42252,8446,Utility Lighter,more household,household,more household,3.0
SP,2,2018-01-14 13:58:31,2018-01-14 00:00:00,248.97,Loyal Customers,Loyality programs;Cross Sell,10626,9903,4922,Summer Sausage Beef Premium,hot dogs bacon sausage,meat seafood,hot dogs bacon sausage,6.0
SP,5,2017-08-20 18:35:41,2017-08-20 00:00:00,398.85,Loyal Customers,Loyality programs;Cross Sell,15682,76503,4922,Summer Sausage Beef Premium,hot dogs bacon sausage,meat seafood,hot dogs bacon sausage,4.0
SP,4,2017-12-28 01:15:31,2017-12-28 00:00:00,396.43000000000006,Loyal Customers,Loyality programs;Cross Sell,35704,822,4922,Summer Sausage Beef Premium,hot dogs bacon sausage,meat seafood,hot dogs bacon sausage,4.0
SP,5,2018-03-07 09:30:33,2018-03-07 00:00:00,343.38,Loyal Customers,Loyality programs;Cross Sell,30893,28505,4922,Summer Sausage Beef Premium,hot dogs bacon sausage,meat seafood,hot dogs bacon sausage,4.0
SP,5,2018-02-07 22:36:19,2018-02-07 00:00:00,198.73,Loyal Customers,Loyality programs;Cross Sell,10433,42465,4922,Summer Sausage Beef Premium,hot dogs bacon sausage,meat seafood,hot dogs bacon sausage,4.0
SP,1,2018-06-25 19:58:34,2018-06-25 00:00:00,409.21,Loyal Customers,Loyality programs;Cross Sell,8681,92278,31692,Homestyle Waffles,frozen breakfast,frozen,frozen breakfast,1.0
RJ,4,2018-06-09 12:27:08,2018-06-09 00:00:00,397.1,Loyal Customers,Loyality programs;Cross Sell,2799,21130,31692,Homestyle Waffles,frozen breakfast,frozen,frozen breakfast,4.0
SP,5,2018-06-24 10:43:09,2018-06-24 00:00:00,312.41,Loyal Customers,Loyality programs;Cross Sell,13308,13558,31692,Homestyle Waffles,frozen breakfast,frozen,frozen breakfast,0.0
SP,5,2018-06-05 15:09:58,2018-06-05 00:00:00,442.38,Loyal Customers,Loyality programs;Cross Sell,23407,3198,31692,Homestyle Waffles,frozen breakfast,frozen,frozen breakfast,4.0
SP,4,2018-06-05 22:44:05,2018-06-05 00:00:00,447.54,Loyal Customers,Loyality programs;Cross Sell,38856,40901,31692,Homestyle Waffles,frozen breakfast,frozen,frozen breakfast,4.0
PB,3,2017-12-31 17:57:21,2017-12-31 00:00:00,912.78,Loyal Customers,Loyality programs;Cross Sell,41061,1740,20162,Sensitive Shave Cream,shave needs,personal care,shave needs,6.0
SP,5,2017-09-06 11:16:05,2017-09-06 00:00:00,192.68,Loyal Customers,Loyality programs;Cross Sell,8994,20037,26733,Keratin Infusion Smoothing Shampoo,hair care,personal care,hair care,4.0
DF,5,2017-09-26 09:11:45,2017-09-26 00:00:00,613.64,Loyal Customers,Loyality programs;Cross Sell,26720,57167,26733,Keratin Infusion Smoothing Shampoo,hair care,personal care,hair care,4.0
BA,4,2017-06-23 17:21:18,2017-06-23 00:00:00,344.52,Loyal Customers,Loyality programs;Cross Sell,7413,16040,5648,100% Recycled 1-Ply Bathroom Tissue,paper goods,household,paper goods,4.0
BA,1,2018-02-19 15:36:19,2018-02-19 00:00:00,344.52,Loyal Customers,Loyality programs;Cross Sell,7413,82099,32134,Protein,yogurt,dairy eggs,Protein,4.0
PE,3,2017-09-28 20:54:00,2017-09-28 00:00:00,355.76,Loyal Customers,Loyality programs;Cross Sell,14585,33723,32134,Protein,yogurt,dairy eggs,Protein,4.0
PA,5,2017-07-30 19:43:25,2017-07-30 00:00:00,320.5,Loyal Customers,Loyality programs;Cross Sell,12981,2331,32134,Protein,yogurt,dairy eggs,Protein,4.0
MG,1,2018-01-29 22:54:58,2018-01-29 00:00:00,292.26,Loyal Customers,Loyality programs;Cross Sell,27779,26859,32134,Protein,yogurt,dairy eggs,Protein,4.0
ES,3,2017-06-15 19:56:15,2017-06-15 00:00:00,451.47,Loyal Customers,Loyality programs;Cross Sell,4133,55516,32134,Protein,yogurt,dairy eggs,Protein,2.0
SC,3,2017-03-16 19:05:03,2017-03-16 00:00:00,328.2,Loyal Customers,Loyality programs;Cross Sell,23669,14816,32134,Protein,yogurt,dairy eggs,Protein,4.0
GO,5,2017-08-05 16:59:05,2017-08-05 00:00:00,756.3299999999997,Loyal Customers,Loyality programs;Cross Sell,27116,76489,8590,Ground Turkey,packaged poultry,meat seafood,packaged poultry,4.0
RJ,5,2017-07-23 16:13:37,2017-07-23 00:00:00,194.97,Loyal Customers,Loyality programs;Cross Sell,27589,562,8590,Ground Turkey,packaged poultry,meat seafood,packaged poultry,5.0
GO,4,2017-12-25 17:49:18,2017-12-25 00:00:00,756.3299999999997,Loyal Customers,Loyality programs;Cross Sell,27116,1769,12480,Sliced Pancetta Americana,lunch meat,deli,lunch meat,4.0
RJ,5,2018-03-07 13:22:41,2018-03-07 00:00:00,305.12,Loyal Customers,Loyality programs;Cross Sell,27031,65533,12480,Sliced Pancetta Americana,lunch meat,deli,lunch meat,6.0
CE,3,2018-02-15 12:10:15,2018-02-15 00:00:00,279.65,Loyal Customers,Loyality programs;Cross Sell,14240,62526,12480,Sliced Pancetta Americana,lunch meat,deli,lunch meat,4.0
SP,5,2018-01-16 08:42:46,2018-01-16 00:00:00,402.32,Loyal Customers,Loyality programs;Cross Sell,9885,17285,12480,Sliced Pancetta Americana,lunch meat,deli,lunch meat,4.0
SP,5,2018-04-01 10:04:18,2018-04-01 00:00:00,175.48,Loyal Customers,Loyality programs;Cross Sell,9880,18182,12480,Sliced Pancetta Americana,lunch meat,deli,lunch meat,4.0
MS,4,2018-02-01 16:27:39,2018-02-01 00:00:00,332.86,Loyal Customers,Loyality programs;Cross Sell,8729,59586,12480,Sliced Pancetta Americana,lunch meat,deli,lunch meat,6.0
RJ,3,2018-03-15 09:49:01,2018-03-15 00:00:00,307.65,Loyal Customers,Loyality programs;Cross Sell,1146,81207,12480,Sliced Pancetta Americana,lunch meat,deli,lunch meat,4.0
GO,5,2017-02-12 22:51:56,2017-02-12 00:00:00,756.3299999999997,Loyal Customers,Loyality programs;Cross Sell,27116,93990,22727,2nd Foods Chicken & Rice Baby Food,baby food formula,babies,baby food formula,4.0
RJ,5,2017-08-07 12:28:44,2017-08-07 00:00:00,599.9000000000002,Loyal Customers,Loyality programs;Cross Sell,12310,52201,29705,Perfumes,candy chocolate,snacks,Perfumes,4.0
SP,5,2017-09-27 21:06:52,2017-09-27 00:00:00,419.65,Loyal Customers,Loyality programs;Cross Sell,36211,58662,29705,Perfumes,candy chocolate,snacks,Perfumes,4.0
SP,1,2017-08-24 07:15:30,2017-08-24 00:00:00,440.94,Loyal Customers,Loyality programs;Cross Sell,12672,72401,29705,Perfumes,candy chocolate,snacks,Perfumes,2.0
SC,5,2017-12-06 20:10:13,2017-12-06 00:00:00,272.95,Loyal Customers,Loyality programs;Cross Sell,31114,71523,29705,Perfumes,candy chocolate,snacks,Perfumes,4.0
RJ,5,2017-07-11 19:43:37,2017-07-11 00:00:00,304.0,Loyal Customers,Loyality programs;Cross Sell,7113,15743,19123,Mini Lemon Pie Coco-Roons,cookies cakes,snacks,cookies cakes,6.0
SP,5,2017-11-18 15:38:54,2017-11-18 00:00:00,177.92000000000004,Loyal Customers,Loyality programs;Cross Sell,2624,55248,19123,Mini Lemon Pie Coco-Roons,cookies cakes,snacks,cookies cakes,0.0
RJ,5,2017-02-20 08:19:21,2017-02-20 00:00:00,599.9000000000002,Loyal Customers,Loyality programs;Cross Sell,12310,379,6278,Coconut Cream,indian foods,international,indian foods,4.0
RJ,5,2017-07-02 12:03:31,2017-07-02 00:00:00,599.9000000000002,Loyal Customers,Loyality programs;Cross Sell,12310,90160,20570,2nd Foods Vanilla Custard Pudding With Bananas,baby food formula,babies,baby food formula,4.0
BA,5,2017-06-28 22:07:22,2017-06-28 00:00:00,384.39,Loyal Customers,Loyality programs;Cross Sell,17255,53695,20570,2nd Foods Vanilla Custard Pudding With Bananas,baby food formula,babies,baby food formula,4.0
RJ,5,2017-07-02 12:03:31,2017-07-02 00:00:00,599.9000000000002,Loyal Customers,Loyality programs;Cross Sell,12310,90160,8263,Enriched Hominy Quick Grits,hot cereal pancake mixes,breakfast,hot cereal pancake mixes,4.0
SP,5,2017-08-04 12:49:03,2017-08-04 00:00:00,419.65,Loyal Customers,Loyality programs;Cross Sell,36211,8935,21648,Crumb Cakes,cookies cakes,snacks,cookies cakes,4.0
SP,5,2017-12-06 21:43:24,2017-12-06 00:00:00,419.65,Loyal Customers,Loyality programs;Cross Sell,36211,4442,31738,Hearty Beef Franks,hot dogs bacon sausage,meat seafood,hot dogs bacon sausage,4.0
SP,5,2017-12-10 18:15:03,2017-12-10 00:00:00,376.79,Loyal Customers,Loyality programs;Cross Sell,2265,73047,31738,Hearty Beef Franks,hot dogs bacon sausage,meat seafood,hot dogs bacon sausage,2.0
PR,5,2017-12-20 17:40:00,2017-12-20 00:00:00,409.31,Loyal Customers,Loyality programs;Cross Sell,33167,13888,31738,Hearty Beef Franks,hot dogs bacon sausage,meat seafood,hot dogs bacon sausage,4.0
SP,4,2017-11-24 12:59:43,2017-11-24 00:00:00,440.94,Loyal Customers,Loyality programs;Cross Sell,12672,41251,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
PR,5,2017-11-01 16:34:41,2017-11-01 00:00:00,291.35,Loyal Customers,Loyality programs;Cross Sell,8687,36880,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2018-02-15 01:32:07,2018-02-15 00:00:00,322.7800000000001,Loyal Customers,Loyality programs;Cross Sell,32020,61202,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,5.0
RJ,5,2017-11-24 00:52:54,2017-11-24 00:00:00,293.13,Loyal Customers,Loyality programs;Cross Sell,9235,31832,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
PI,4,2018-02-14 08:54:32,2018-02-14 00:00:00,199.79,Loyal Customers,Loyality programs;Cross Sell,2917,26609,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
RS,5,2018-02-08 22:22:54,2018-02-08 00:00:00,381.44,Loyal Customers,Loyality programs;Cross Sell,8295,82534,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
RS,5,2018-01-12 20:16:58,2018-01-12 00:00:00,211.03,Loyal Customers,Loyality programs;Cross Sell,29553,12491,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
RJ,1,2018-03-08 16:11:27,2018-03-08 00:00:00,420.33,Loyal Customers,Loyality programs;Cross Sell,15229,61410,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,4,2018-04-29 22:45:30,2018-04-29 00:00:00,108.04,Loyal Customers,Loyality programs;Cross Sell,11613,1130,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2018-03-07 21:08:18,2018-03-07 00:00:00,254.02,Loyal Customers,Loyality programs;Cross Sell,14193,1597,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SC,1,2018-01-30 18:06:42,2018-01-30 00:00:00,421.6,Loyal Customers,Loyality programs;Cross Sell,33278,4507,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SC,5,2017-07-19 15:33:18,2017-07-19 00:00:00,437.4,Loyal Customers,Loyality programs;Cross Sell,37845,5457,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SC,4,2017-10-09 11:40:18,2017-10-09 00:00:00,437.4,Loyal Customers,Loyality programs;Cross Sell,37845,49381,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
RJ,5,2018-06-04 21:09:34,2018-06-04 00:00:00,111.43,Loyal Customers,Loyality programs;Cross Sell,16606,6969,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SC,5,2018-05-27 18:26:29,2018-05-27 00:00:00,224.53,Loyal Customers,Loyality programs;Cross Sell,9570,8120,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
RJ,5,2017-09-06 19:41:57,2017-09-06 00:00:00,435.73,Loyal Customers,Loyality programs;Cross Sell,41008,9266,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
RJ,3,2017-09-10 15:43:07,2017-09-10 00:00:00,389.62,Loyal Customers,Loyality programs;Cross Sell,27664,10294,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SC,1,2017-11-24 23:54:05,2017-11-24 00:00:00,231.2,Loyal Customers,Loyality programs;Cross Sell,14559,14852,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2018-01-22 21:07:44,2018-01-22 00:00:00,240.08,Loyal Customers,Loyality programs;Cross Sell,36803,16452,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2018-02-09 12:02:39,2018-02-09 00:00:00,218.61,Loyal Customers,Loyality programs;Cross Sell,22431,17139,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
RS,4,2017-10-31 22:40:47,2017-10-31 00:00:00,313.5,Loyal Customers,Loyality programs;Cross Sell,27441,17431,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
PR,1,2017-10-09 19:42:43,2017-10-09 00:00:00,336.2,Loyal Customers,Loyality programs;Cross Sell,24516,24948,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SC,4,2017-09-27 21:08:28,2017-09-27 00:00:00,342.01,Loyal Customers,Loyality programs;Cross Sell,13166,25408,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2018-02-13 11:58:53,2018-02-13 00:00:00,227.67,Loyal Customers,Loyality programs;Cross Sell,24103,26056,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
RJ,1,2017-11-29 13:46:51,2017-11-29 00:00:00,500.68,Loyal Customers,Loyality programs;Cross Sell,25731,28890,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
PR,5,2017-12-11 23:18:47,2017-12-11 00:00:00,348.53000000000014,Loyal Customers,Loyality programs;Cross Sell,7254,33412,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,5.0
MG,2,2017-11-24 15:10:38,2017-11-24 00:00:00,191.69,Loyal Customers,Loyality programs;Cross Sell,10434,37236,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2017-09-11 11:50:32,2017-09-11 00:00:00,219.1,Loyal Customers,Loyality programs;Cross Sell,25490,37635,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
PR,5,2017-12-29 21:00:37,2017-12-29 00:00:00,399.87,Loyal Customers,Loyality programs;Cross Sell,35538,39534,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
RS,3,2017-12-08 09:35:32,2017-12-08 00:00:00,229.67,Loyal Customers,Loyality programs;Cross Sell,33453,45850,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
MG,5,2018-02-09 07:51:33,2018-02-09 00:00:00,440.62,Loyal Customers,Loyality programs;Cross Sell,19679,47099,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
RJ,4,2018-03-09 19:41:23,2018-03-09 00:00:00,223.22,Loyal Customers,Loyality programs;Cross Sell,24250,47553,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2018-01-11 08:12:33,2018-01-11 00:00:00,260.37,Loyal Customers,Loyality programs;Cross Sell,38844,49467,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2018-04-09 10:07:58,2018-04-09 00:00:00,198.78,Loyal Customers,Loyality programs;Cross Sell,10716,49546,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
PE,5,2017-11-26 16:39:39,2017-11-26 00:00:00,312.47,Loyal Customers,Loyality programs;Cross Sell,32385,52185,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2017-12-17 17:54:00,2017-12-17 00:00:00,343.83,Loyal Customers,Loyality programs;Cross Sell,1870,54883,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,4,2018-05-25 18:06:56,2018-05-25 00:00:00,146.42,Loyal Customers,Loyality programs;Cross Sell,150,56211,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
RJ,5,2017-11-25 00:50:58,2017-11-25 00:00:00,281.19000000000005,Loyal Customers,Loyality programs;Cross Sell,25330,57711,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
PR,5,2017-11-30 16:11:39,2017-11-30 00:00:00,230.72,Loyal Customers,Loyality programs;Cross Sell,15395,58437,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
RJ,5,2017-08-27 14:17:28,2017-08-27 00:00:00,392.8,Loyal Customers,Loyality programs;Cross Sell,27167,59053,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2017-12-01 14:05:44,2017-12-01 00:00:00,320.0300000000001,Loyal Customers,Loyality programs;Cross Sell,5956,60499,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
PR,5,2017-11-24 09:59:16,2017-11-24 00:00:00,310.88,Loyal Customers,Loyality programs;Cross Sell,37099,63244,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,4,2018-05-24 11:46:31,2018-05-24 00:00:00,227.21,Loyal Customers,Loyality programs;Cross Sell,30602,65298,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2017-11-18 20:14:53,2017-11-18 00:00:00,295.1,Loyal Customers,Loyality programs;Cross Sell,17613,65518,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2017-10-29 20:43:58,2017-10-29 00:00:00,179.92000000000004,Loyal Customers,Loyality programs;Cross Sell,17242,65686,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2018-01-18 22:31:18,2018-01-18 00:00:00,366.03,Loyal Customers,Loyality programs;Cross Sell,8118,68294,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,4,2018-02-26 23:06:10,2018-02-26 00:00:00,231.57,Loyal Customers,Loyality programs;Cross Sell,11783,69167,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
MG,4,2017-11-03 00:01:36,2017-11-03 00:00:00,293.49,Loyal Customers,Loyality programs;Cross Sell,9665,73608,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2017-12-19 13:04:39,2017-12-19 00:00:00,342.41,Loyal Customers,Loyality programs;Cross Sell,10339,76572,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
MT,5,2018-02-14 10:57:27,2018-02-14 00:00:00,411.56,Loyal Customers,Loyality programs;Cross Sell,16419,81577,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SC,1,2017-12-20 17:18:31,2017-12-20 00:00:00,311.98,Loyal Customers,Loyality programs;Cross Sell,37588,81682,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,4,2017-08-08 16:39:19,2017-08-08 00:00:00,357.79,Loyal Customers,Loyality programs;Cross Sell,31417,82405,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,4,2018-05-02 21:56:21,2018-05-02 00:00:00,233.62,Loyal Customers,Loyality programs;Cross Sell,38161,87252,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
PR,5,2017-07-19 19:43:53,2017-07-19 00:00:00,286.99,Loyal Customers,Loyality programs;Cross Sell,37292,87690,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
GO,5,2017-09-04 14:31:32,2017-09-04 00:00:00,176.79999999999995,Loyal Customers,Loyality programs;Cross Sell,31420,93125,6927,Signature Twin Size Mattress,packaged vegetables fruits,produce,Signature Mattress,2.0
SP,5,2017-03-15 23:17:08,2017-03-15 00:00:00,440.94,Loyal Customers,Loyality programs;Cross Sell,12672,86349,16929,Dried Shiitake Mushrooms,more household,household,more household,2.0
SP,5,2017-03-16 16:29:32,2017-03-16 00:00:00,365.74,Loyal Customers,Loyality programs;Cross Sell,16851,553,16929,Dried Shiitake Mushrooms,more household,household,more household,0.0
SP,1,2017-03-18 18:44:50,2017-03-18 00:00:00,380.37,Loyal Customers,Loyality programs;Cross Sell,20527,55711,16929,Dried Shiitake Mushrooms,more household,household,more household,4.0
SP,5,2017-07-18 08:52:42,2017-07-18 00:00:00,440.94,Loyal Customers,Loyality programs;Cross Sell,12672,44176,22511,Plain Breadsticks,crackers,snacks,crackers,2.0
SP,1,2017-07-18 08:52:42,2017-07-18 00:00:00,440.94,Loyal Customers,Loyality programs;Cross Sell,12672,44176,22511,Plain Breadsticks,crackers,snacks,crackers,2.0
SP,5,2017-12-04 11:02:18,2017-12-04 00:00:00,440.94,Loyal Customers,Loyality programs;Cross Sell,12672,52814,25850,Vegan Low Fat Spicy Southwestern Ranch Salad Dressing,salad dressing toppings,pantry,salad dressing toppings,2.0
MG,5,2017-05-01 23:51:42,2017-05-01 00:00:00,352.44999999999993,Loyal Customers,Loyality programs;Cross Sell,19771,44999,16158,Shredded Steak & Cheese Burrito,frozen meals,frozen,frozen meals,0.0
RS,5,2017-08-02 18:40:28,2017-08-02 00:00:00,277.15,Loyal Customers,Loyality programs;Cross Sell,502,71613,16158,Shredded Steak & Cheese Burrito,frozen meals,frozen,frozen meals,0.0
SP,5,2018-04-03 22:59:56,2018-04-03 00:00:00,185.77,Loyal Customers,Loyality programs;Cross Sell,2454,56173,16158,Shredded Steak & Cheese Burrito,frozen meals,frozen,frozen meals,0.0
SP,5,2017-07-31 14:34:07,2017-07-31 00:00:00,443.70000000000016,Loyal Customers,Loyality programs;Cross Sell,37366,87327,16158,Shredded Steak & Cheese Burrito,frozen meals,frozen,frozen meals,3.0
SP,5,2017-08-18 06:47:24,2017-08-18 00:00:00,435.18,Loyal Customers,Loyality programs;Cross Sell,32807,38109,16158,Shredded Steak & Cheese Burrito,frozen meals,frozen,frozen meals,0.0
PE,5,2017-09-09 18:46:10,2017-09-09 00:00:00,396.77,Loyal Customers,Loyality programs;Cross Sell,3481,70712,16158,Shredded Steak & Cheese Burrito,frozen meals,frozen,frozen meals,0.0
SP,5,2017-08-21 21:02:32,2017-08-21 00:00:00,223.45,Loyal Customers,Loyality programs;Cross Sell,7569,1433,16158,Shredded Steak & Cheese Burrito,frozen meals,frozen,frozen meals,0.0
SP,1,2018-05-14 00:58:58,2018-05-14 00:00:00,314.3,Loyal Customers,Loyality programs;Cross Sell,13180,54578,16158,Shredded Steak & Cheese Burrito,frozen meals,frozen,frozen meals,0.0
RJ,4,2017-05-10 17:21:40,2017-05-10 00:00:00,398.87,Loyal Customers,Loyality programs;Cross Sell,21770,16913,16158,Shredded Steak & Cheese Burrito,frozen meals,frozen,frozen meals,0.0
ES,1,2018-04-13 16:58:34,2018-04-13 00:00:00,264.73,Loyal Customers,Loyality programs;Cross Sell,3287,51500,16158,Shredded Steak & Cheese Burrito,frozen meals,frozen,frozen meals,0.0
