,tsne-2d-one,tsne-2d-two,cluster
316,1.5546854,-20.832884,11.0
317,2.949547,-6.9067826,3.0
318,-12.297634,-5.868487,1.0
319,-2.3966265,10.922121,2.0
320,-0.6568964,11.31814,2.0
321,-16.70438,-9.652666,1.0
322,5.117698,7.884246,4.0
323,-4.2118154,-16.277771,8.0
324,-17.82423,10.887403,5.0
325,10.269202,-0.88020885,4.0
326,4.5015078,-12.648418,3.0
327,2.3129933,-2.845541,4.0
328,7.259895,4.2315426,4.0
329,-12.133989,-3.8171992,1.0
330,1.9669156,-24.478426,11.0
331,-19.235634,2.6105945,3.0
332,-5.148304,-11.101239,3.0
333,-6.536264,20.88562,6.0
334,-6.8102593,18.761415,6.0
335,-4.612195,-9.792928,8.0
336,0.665629,22.477142,6.0
337,4.7189064,-19.75448,11.0
338,-0.3338657,-6.0861893,3.0
339,1.091687,-8.676096,4.0
340,-4.391006,-18.816938,8.0
341,-13.990251,-8.008533,1.0
342,-5.748347,-19.84338,8.0
343,-5.815887,-11.958404,3.0
344,4.1363406,-23.356325,11.0
345,4.960716,-0.08243167,4.0
346,-2.4464793,-8.381759,3.0
347,1.8116634,3.822021,4.0
348,16.21266,11.244442,4.0
349,1.4681007,-2.1455567,4.0
350,5.068937,-1.4929612,4.0
351,-11.580159,7.98712,9.0
352,-17.846283,12.862971,5.0
353,-7.378588,-7.4730268,1.0
354,0.5485924,28.665884,10.0
355,1.7930051,30.298203,10.0
356,-2.4430158,4.8917847,3.0
357,3.3044279,-19.05216,11.0
358,4.643155,-22.94681,11.0
359,1.3481133,-24.570984,11.0
360,-9.654829,-19.766727,8.0
361,-14.424733,-3.8301923,1.0
362,24.177902,-3.3630097,0.0
363,6.1491027,5.9993386,4.0
364,4.5018907,0.6733716,4.0
365,-16.20236,12.187813,5.0
366,6.6266303,5.3226027,4.0
367,2.9643407,-21.410492,11.0
368,-17.152836,-7.4212704,1.0
369,6.1310444,-18.83256,11.0
370,6.753436,14.053036,7.0
371,4.7761817,-12.386807,3.0
372,-15.161083,20.358936,9.0
373,0.5632717,30.282307,10.0
374,-0.22529924,-26.458658,11.0
375,-20.137808,-7.583486,1.0
376,-13.356887,-4.419234,1.0
377,-3.5635226,-4.0956516,0.0
378,2.9218638,21.77665,7.0
379,-3.7471716,-14.156961,8.0
380,-6.7114954,17.255894,6.0
381,-9.64774,-10.877585,3.0
382,-8.273316,17.96051,5.0
383,1.6408914,29.901403,10.0
384,-19.116045,-9.667814,1.0
385,-4.583838,2.4639556,3.0
386,-0.18874563,11.510485,2.0
387,-9.198221,7.145991,9.0
388,1.0742903,-4.5074058,3.0
389,12.622565,-20.897604,3.0
390,5.075482,13.231749,7.0
391,11.247822,1.5460956,4.0
392,6.5429006,-24.762665,11.0
393,-2.7003443,-0.6283643,1.0
394,-14.3759575,4.7331176,4.0
395,-7.370306,-18.928585,8.0
396,1.6587492,-23.144829,11.0
397,21.633392,7.250826,0.0
398,-12.846085,21.588932,9.0
399,3.3363087,-8.023373,3.0
400,13.149542,-4.548668,0.0
401,2.6979554,21.74744,9.0
402,-5.702606,-1.8458465,8.0
403,6.357931,4.744113,4.0
404,-18.328587,-10.941366,1.0
405,-9.007339,-1.9740849,1.0
406,-0.2573806,-7.15421,3.0
407,-4.1226587,-19.823465,8.0
408,-15.990474,-11.875992,1.0
409,-17.0084,14.477781,5.0
410,2.012798,-1.3833696,4.0
411,-12.181093,-2.0840242,1.0
412,-5.1222196,18.849749,6.0
413,4.1474075,-5.2741594,4.0
414,15.103189,19.064146,7.0
415,15.359092,18.479517,6.0
416,2.5567827,-24.828728,11.0
417,5.789291,8.576481,4.0
418,19.030075,-3.167407,0.0
419,-2.3342469,3.625723,6.0
420,8.098595,2.3023596,4.0
421,-18.236263,-9.867654,1.0
422,4.603179,7.6188293,4.0
423,19.018969,-3.7164395,0.0
424,-9.350362,9.877661,5.0
425,10.348799,16.54564,7.0
426,3.0224454,-8.62336,3.0
427,4.3207145,13.593471,7.0
428,10.573604,-15.550748,3.0
429,-2.4876876,-10.878481,3.0
430,11.964262,7.5530796,4.0
431,6.3262677,-20.809696,11.0
432,-14.158226,-3.0409257,1.0
433,9.048841,15.32333,7.0
434,-15.63576,12.034884,5.0
435,-3.2346797,20.484552,6.0
436,-1.1089059,10.315415,2.0
437,7.5863667,-3.8322098,4.0
438,-7.74538,21.295206,6.0
439,-17.390312,10.662456,5.0
440,-4.2266273,-1.1851099,4.0
441,20.61669,3.8225162,0.0
442,-0.24893963,-11.387639,3.0
443,-6.4371095,2.9742138,1.0
444,6.6377926,4.639147,4.0
445,-0.035155907,-24.98316,11.0
446,-9.871972,12.722538,6.0
447,21.330988,-3.894835,0.0
448,-9.705795,-1.2733604,1.0
449,15.458498,-10.863208,3.0
450,0.8256558,30.36596,10.0
451,5.5433626,0.48585007,4.0
452,-9.057193,11.00528,6.0
453,13.119846,2.2356153,4.0
454,-4.323569,21.336645,6.0
455,5.9133544,5.9668093,4.0
456,-9.006786,15.632022,6.0
457,8.996135,-3.2113082,4.0
458,4.256689,18.225422,7.0
459,-1.4693099,11.683041,2.0
460,-12.715732,-3.430638,1.0
461,14.165743,-6.488449,4.0
462,23.874065,-4.693836,0.0
463,-14.1493025,22.023941,9.0
464,19.573433,-0.6980432,0.0
465,-18.723957,-4.7370057,1.0
466,-15.034819,21.014856,9.0
467,-19.190258,-14.196612,1.0
468,-5.334921,-2.8868086,1.0
469,-1.6311132,8.43954,1.0
470,-1.4399093,-6.992072,3.0
471,-16.559586,14.752686,5.0
472,-7.9643345,4.3016934,9.0
473,21.453407,0.16621006,0.0
474,-4.4521375,2.4035006,3.0
475,-8.563107,-3.0294569,1.0
476,-16.517103,20.974499,9.0
477,-18.362036,-9.752238,1.0
478,1.732938,29.733873,10.0
479,8.013438,-20.743738,11.0
480,1.9742312,-0.93873715,4.0
481,6.415689,5.853736,4.0
482,-8.89947,-6.5850396,1.0
483,7.1103206,2.6602364,4.0
484,10.684254,-3.5733197,4.0
485,5.214535,15.779357,7.0
486,19.281912,1.2168828,0.0
487,1.3152822,-24.091242,11.0
488,-20.010485,5.7146297,6.0
489,8.157935,-16.18437,3.0
490,-6.096135,-16.165117,8.0
491,4.6641088,-9.877558,3.0
492,4.253591,-10.208368,3.0
493,-10.571656,5.6933565,9.0
494,-13.255981,-1.7048918,1.0
495,-0.010435246,-7.443495,3.0
496,-15.358149,21.294271,9.0
497,-5.8938627,20.392035,6.0
498,10.774514,-1.985873,4.0
499,-13.192232,-3.1097896,1.0
500,7.7749524,13.876145,7.0
501,-17.732729,-10.076487,1.0
502,15.610136,-1.9283766,0.0
503,7.9644814,0.9796266,4.0
504,3.0066948,-1.4509557,4.0
505,-0.12493455,30.298307,10.0
506,9.886735,-2.2571208,4.0
507,-1.8793639,10.227645,2.0
508,-7.825007,-16.524754,8.0
509,16.678493,-5.8928556,0.0
510,12.40528,-1.5290619,4.0
511,8.389683,0.03936401,4.0
512,3.6587281,17.091652,7.0
513,-8.779798,-12.915974,3.0
514,-16.72953,11.686919,5.0
515,14.613635,17.507935,7.0
516,9.603211,-15.635795,3.0
517,-5.2599664,-17.436022,8.0
518,-3.8484044,23.080809,6.0
519,3.0768752,-13.852017,3.0
520,3.7621505,-25.882717,11.0
521,-2.4361374,4.887969,6.0
522,-18.359547,6.346819,6.0
523,-3.2283154,-9.591114,3.0
524,2.4978437,14.351201,7.0
525,-14.724861,-5.200928,1.0
526,-19.96515,10.413244,5.0
527,4.4466324,-3.9533317,4.0
528,-7.878083,15.452936,6.0
529,4.951247,-24.182596,11.0
530,5.662285,1.8263507,4.0
531,11.343841,-1.8892546,4.0
532,5.0875926,18.419577,7.0
533,-12.383105,-13.178036,1.0
534,0.67331755,-12.750797,8.0
535,5.2107534,-6.416,4.0
536,-14.151164,-3.9822161,1.0
537,-7.46151,-11.213018,1.0
538,21.439316,-7.3138824,0.0
539,-10.569474,-6.527735,1.0
540,-1.5026242,12.601326,2.0
541,18.177013,-4.1937184,0.0
542,-10.875379,3.6127121,9.0
543,-13.853159,-1.8308251,1.0
544,4.751919,3.4301891,4.0
545,-10.237119,-18.144365,8.0
546,-13.507018,23.37517,9.0
547,0.46152425,29.362003,10.0
548,16.19033,11.374242,4.0
549,6.5685644,14.450397,7.0
550,-6.2561674,15.15717,6.0
551,21.620562,1.2396731,0.0
552,0.08290023,-8.553754,3.0
553,-14.621512,-3.3977704,1.0
554,7.5468955,1.6522784,4.0
555,3.7714434,5.586491,4.0
556,8.585728,17.84518,7.0
557,22.92792,-3.2649202,0.0
558,3.7102754,-26.362455,11.0
559,11.470828,-1.5439075,4.0
560,0.7514008,-6.200242,4.0
561,23.316315,4.292408,0.0
562,0.6552144,28.548681,10.0
563,19.655846,0.008522236,0.0
564,-4.2307496,-16.491596,8.0
565,-6.400381,-0.8824804,1.0
566,2.5490878,-24.40684,11.0
567,9.46764,-6.4581904,4.0
568,-12.977397,23.71326,9.0
569,0.38133124,11.058023,2.0
570,4.2099295,19.259998,7.0
571,10.165118,-15.815753,3.0
572,5.631695,18.70513,7.0
573,18.018883,-1.788435,0.0
574,23.031828,-0.7125545,0.0
575,-17.454004,-8.366395,1.0
576,-18.070127,11.931433,5.0
577,10.045984,0.40938544,4.0
578,-2.172305,9.725356,2.0
579,-9.371827,-11.156063,3.0
580,-18.092833,11.655104,5.0
581,12.287147,-3.3352356,4.0
582,-5.5986524,-22.90298,8.0
583,-7.601933,-13.68632,3.0
584,-11.079893,3.32962,9.0
585,10.2747755,-4.406651,4.0
586,-11.696016,8.869808,5.0
587,9.311735,-4.502003,4.0
588,16.9178,-2.4272866,11.0
589,1.6626859,-22.616425,11.0
590,17.787905,-12.408886,3.0
591,5.2659206,-4.45932,4.0
592,-1.881976,7.616518,0.0
593,-14.086937,-12.977747,1.0
594,-3.8579044,-20.024275,8.0
595,3.3270576,-23.60071,11.0
596,-12.584551,2.4334705,5.0
597,0.4701747,-13.951548,3.0
598,15.856593,18.317886,7.0
599,-9.957886,-5.825375,1.0
600,-3.0611775,-10.538584,0.0
601,-20.242867,-7.7482834,1.0
602,0.578205,-7.293987,3.0
603,-15.017022,22.45967,9.0
604,-16.084297,15.01665,5.0
605,7.911707,-24.428097,11.0
606,-7.5745277,12.3186,6.0
607,7.250304,-2.9383447,4.0
608,-7.8960266,13.774268,6.0
609,1.8565886,18.433683,7.0
610,17.130867,-1.0905801,0.0
611,21.81431,0.75145,0.0
612,-13.277619,21.403736,9.0
613,-14.250115,-4.2342334,1.0
614,13.704543,-11.348806,3.0
615,-7.2053833,9.754318,7.0
616,-4.455902,19.423256,6.0
617,-10.079266,-6.2484684,1.0
618,-15.20309,13.101193,5.0
619,6.093783,0.44483653,4.0
620,5.1987624,-17.807749,11.0
621,9.697216,-1.8339595,4.0
622,12.051664,-2.3567374,4.0
623,-9.210052,15.432139,6.0
624,17.06439,2.4608204,0.0
625,-17.992218,13.301411,5.0
626,20.64154,-0.057474803,0.0
627,2.729358,22.59032,6.0
628,-4.3934813,6.0972223,8.0
629,-10.623424,-3.498264,1.0
630,10.603671,-2.8768408,4.0
631,-15.824881,-3.0201957,1.0
632,0.34958422,-6.7545857,3.0
633,10.176174,-0.3360191,4.0
634,-2.4308264,19.818243,6.0
635,11.960896,3.7614317,4.0
636,-4.335098,-20.423431,8.0
637,-12.911292,-5.05614,1.0
638,8.215445,-0.17640392,4.0
639,22.9432,-1.1582222,0.0
640,12.120081,-1.8397554,4.0
641,-9.104808,-18.645918,8.0
642,10.100608,-2.8005161,4.0
643,6.8914704,2.212531,4.0
644,4.696187,-22.701128,11.0
645,-7.6794434,-12.119717,3.0
646,2.623677,-6.828606,3.0
647,-1.4326265,-15.011083,8.0
648,10.476068,-1.3946414,4.0
649,4.29383,4.0136623,4.0
650,-7.868563,-17.726818,8.0
651,-2.084422,-11.930578,11.0
652,-2.3845878,10.913614,2.0
653,22.090181,1.7963985,0.0
654,-20.317703,3.0090008,6.0
655,-0.030089961,-5.020102,3.0
656,21.712017,3.5188944,0.0
657,-6.4357157,20.426582,6.0
658,1.7070717,29.298916,10.0
659,-10.326137,-18.06424,8.0
660,-13.97646,12.774263,5.0
661,-4.799528,-3.0378041,8.0
662,-0.11645082,-5.972626,3.0
663,16.066263,10.845569,6.0
664,-3.9111168,-1.5088234,4.0
665,-4.0355825,18.778145,6.0
666,8.349242,-21.611902,11.0
667,19.721317,4.4064183,0.0
668,-9.195467,3.1992767,9.0
669,3.483627,-2.48275,4.0
670,-8.461019,5.7030716,9.0
671,-3.7928627,-10.5331955,3.0
672,7.0619473,-25.359478,11.0
673,1.69068,-0.9984221,4.0
674,19.265875,5.084629,0.0
675,-5.7009597,-21.76756,8.0
676,-7.483914,2.1804216,0.0
677,-17.147343,-9.5530405,1.0
678,4.692309,14.445742,7.0
679,-8.679112,-21.40957,8.0
680,-6.3648205,-7.0981507,1.0
681,15.655158,11.769326,7.0
682,-14.444175,-4.5139103,1.0
683,11.284875,1.455967,4.0
684,-12.541532,19.495924,9.0
685,4.743645,-22.504906,11.0
686,3.1781538,-18.233015,11.0
687,-3.1778204,-4.8393416,0.0
688,4.879313,8.128034,4.0
689,-20.415897,12.04622,5.0
690,8.976308,-23.75588,11.0
691,-2.4084446,4.9365816,3.0
692,9.492057,-17.282887,3.0
693,10.712342,-13.734872,3.0
694,-15.186535,24.447376,9.0
695,7.295801,19.06239,7.0
696,10.270265,-1.4286375,4.0
697,18.583298,-5.4264545,0.0
698,-6.403666,5.8835096,3.0
699,-13.619242,23.033464,9.0
700,8.831783,-1.2199116,4.0
701,-20.567442,2.918285,6.0
702,-15.878952,-3.6037776,1.0
703,6.922194,-0.29996035,4.0
704,-7.6062484,14.174659,6.0
705,-13.190361,-3.503026,1.0
706,12.594726,3.724762,4.0
707,-6.358045,12.4193945,6.0
708,-8.595831,-5.342994,1.0
709,-7.794791,-2.1082985,1.0
710,-6.393747,-11.09927,3.0
711,-9.254337,3.499731,9.0
712,4.359218,17.627348,7.0
713,-12.800433,19.165056,9.0
714,-6.8951616,4.5985074,0.0
715,16.27204,11.472139,4.0
716,-12.985638,20.69351,9.0
717,-14.324783,-1.9793717,1.0
718,4.2273483,-24.835981,11.0
719,-17.023537,13.491444,5.0
720,8.671538,-1.8668494,4.0
721,7.313099,16.506271,7.0
722,-10.519289,-0.43367305,1.0
723,1.4020927,29.399736,10.0
724,13.730039,6.0664344,4.0
725,-18.435577,13.445742,5.0
726,20.79198,-6.3501205,0.0
727,-4.862271,-2.8850477,1.0
728,-8.870164,5.409872,9.0
729,14.387884,-6.6005473,4.0
730,-15.944168,-9.352514,1.0
731,2.2745454,0.88864046,4.0
732,5.4975767,3.5730927,4.0
733,-20.108034,-10.85948,1.0
734,-6.9188185,-20.703693,8.0
735,3.2994416,-13.960601,3.0
736,5.2932286,-23.340408,11.0
737,6.18167,-1.3659675,4.0
738,10.545949,-23.338476,11.0
739,-18.551365,-8.697957,1.0
740,0.6875923,10.27248,2.0
741,-15.956056,12.420138,5.0
742,-8.027812,-12.009683,3.0
743,-13.118103,-3.9607978,1.0
744,6.4040093,16.357206,7.0
745,4.4663706,-23.049515,11.0
746,-7.795867,-11.715769,3.0
747,-5.4847465,-18.152641,8.0
748,7.245901,-23.152597,11.0
749,16.194166,11.42904,4.0
750,-7.626063,-21.895052,8.0
751,-5.3647156,0.5982875,1.0
752,15.809769,-12.998718,3.0
753,21.636265,-2.581525,0.0
754,-14.472889,-7.683607,1.0
755,8.191859,-16.28,3.0
756,-7.9772725,-11.093632,3.0
757,-2.2094927,-16.916723,8.0
758,6.313833,-11.008999,3.0
759,-2.0249264,-7.3709245,3.0
760,19.791733,-0.13231398,0.0
761,-4.8138304,17.807701,6.0
762,4.143931,-5.167392,4.0
763,-16.788021,9.721756,1.0
764,5.4766774,-28.074001,11.0
765,5.499932,-4.6105943,4.0
766,-2.3511474,12.24405,2.0
767,11.261579,8.872429,0.0
768,-8.555559,-12.617248,3.0
769,-7.9072814,-10.973474,3.0
770,-0.43610647,-8.316107,3.0
771,0.48160255,1.1782708,4.0
772,-4.6020565,11.060753,2.0
773,-6.0422845,-21.490797,8.0
774,-15.435701,14.146172,5.0
775,13.631466,4.6675286,4.0
776,12.746273,1.4482008,4.0
777,6.4911003,-3.3358228,4.0
778,-5.046117,-18.161518,8.0
779,-16.63752,-13.076857,1.0
780,9.98876,1.4304097,4.0
781,1.6835524,-12.899187,3.0
782,10.199943,-6.8628235,4.0
783,3.1380546,19.246056,7.0
784,-1.0158572,12.37415,2.0
785,4.4148946,-10.573087,3.0
786,8.9635,-14.592223,3.0
787,-7.728804,-11.389288,3.0
788,20.099724,-3.4395247,0.0
